tender_id,name,organization,location,submission_deadline,initiation_date,details_url,original_source_url,original_source_type,found_in_section
399580-2025,"Poland – Electricity, heating, solar and nuclear energy – Dostawa energii elektrycznej","Przedsiębiorstwo Produkcyjno Usługowo Handlowe ""RADKOM"" Sp. z o.o.",Poland,2025-07-21 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399580-2025,https://ezamowienia.gov.pl,ezamowienia,General links
399414-2025,Poland – Waste-tip management services – Zagospodarowanie odpadów komunalnych na rzecz Zakładu Gospodarki Komunalnej w Szczebrzeszynie Sp. z o.o.,Zakład Gospodarki Komunalnej w Szczebrzeszynie Sp. z o.o.,Poland,2025-07-22 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399414-2025,https://ezamowienia.gov.pl/pl,ezamowienia,General links
399101-2025,Poland – Police cars – Dostawa 50 sztuk policyjnych pojazdów oznakowanych typu PICK–UP,KOMENDA GŁÓWNA POLICJI,Poland,2025-07-21 10:30,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399101-2025,https://kgpolicja.ezamawiajacy.pl,ezamawiajacy,General links
398991-2025,"Poland – Water-treatment plant construction work – Budowa stacji uzdatniania wody w Dębrzniku, gmina Kamienna Góra",Wałbrzyski Związek Wodociągów i Kanalizacji,Poland,2025-07-09 09:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/398991-2025,https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-d84b08bd-65cd-43df-bd00-7f06bfc8b2ab,ezamowienia,General links
401140-2025,"Poland – Solar photovoltaic modules – Dostawa i montaż instalacji fotowoltaicznej oraz magazynu energii w ramach projektu pn. ""Odnawialne źródła energii Warmińsko-Mazurskiego Centrum Chorób Płuc w Olsztynie""",Warmińsko-Mazurskie Centrum Chorób Płuc w Olsztynie,Poland,2025-07-23 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401140-2025,https://wmccp.ezamawiajacy.pl/servlet/HomeServlet,ezamawiajacy,General links
400877-2025,Poland – Laboratory reagents – DOSTAWA ODCZYNNIKÓW IMMUNOCHEMICZNYCH WRAZ Z DZIERŻAWĄ ANALIZATORA,Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. dr. Janusza Daaba w Piekarach Śląskich,Poland,2025-07-01 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/400877-2025,https://urazowka.ezamawiajacy.pl,ezamawiajacy,General links
401170-2025,"Poland – Laboratory reagents – DOSTAWA ODCZYNNIKÓW, MATERIAŁÓW KONTROLNYCH, KALIBRATORÓW I AKCESORIÓW LABORATORYJNYCH WRAZ Z NAJMEM ANALIZATORÓW ORAZ CZĘŚCIAMI ZUŻYWALNYMI DLA LABORATORIUM ANALITYCZNEGO ORAZ ODCZYNNIKÓW I AKCESORIÓW LABORATORYJNYCH – MIKROBIOLOGICZNYCH WRAZ Z NAJMEM APARATURY",Kujawsko – Pomorskie Centrum Pulmonologii w Bydgoszczy,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401170-2025,https://platformazakupowa.pl/pn/kpcp,platformazakupowa,General links
401412-2025,Poland – Driving simulators – Dostawa 4 symulatorów do realizacji szkoleń maszynistów i kandydatów na maszynistów,"""PKP Intercity"" S.A.",Poland,2025-07-07 12:30,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401412-2025,https://pkpintercity.eb2b.com.pl,eb2b,General links
401667-2025,"Poland – Electricity, heating, solar and nuclear energy – Kompleksowe dostarczenie energii cieplnej do budynku Urzędu Dzielnicy Bielany m.st. Warszawy przy ul. S. Żeromskiego 29",Miasto Stołeczne Warszawa Dzielnica Bielany,Poland,2025-06-30 10:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401667-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
401611-2025,"Poland – Information and promotion products – Wykonanie i dostawa materiałów promocyjnych oznakowanych logo MZ, NSO, NPChUK, PDŻ na potrzeby działań edukacyjno-informacyjno-promocyjnych Pakiet: SPORT",MINISTERSTWO ZDROWIA,Poland,2025-06-26 11:00,2025-06-20,https://ted.europa.eu/en/notice/-/detail/401611-2025,https://zzpprzymz.ezamawiajacy.pl/servlet/HomeServlet,ezamawiajacy,Warunki udzielenia zamówienia
399110-2025,"Poland – Blood-testing reagents – Dostawa jakościowych testów do przeciwciał anty-HCV, przeciwciał anty-HIV-1 (wraz z gr O) +2 oraz antygenu p24, HBsAg (wraz z testami potwierdzenia) oraz kiły (anty-Treponema pallidum) wraz z niezbędną aparaturą",Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Poznaniu,Poland,,2025-06-20,https://ted.europa.eu/en/notice/-/detail/399110-2025,https://europa.eu/european-union/contact/institutions-bodies_en,unknown_platform_europa.eu,General page scan
